utt_id	text
10_2321_0_101_01_211028-082615_bem_ddd_elicit_0	A brown dog is walking in the water besides the river while carrying a stick in its mouth.
10_2321_2_101_01_211028-082615_bem_ddd_elicit_1	The stick is floating on the river.
10_2321_4_101_01_211028-082615_bem_ddd_elicit_2	Maybe it thought it was a fish and now it has found a stick.
10_2345_0_101_01_211028-193045_bem_ddd_elicit_0	A dog is running on the grass.
10_2345_2_101_01_211028-193045_bem_ddd_elicit_1	On the other side of the fence there are trees with green leaves
10_2345_4_101_01_211028-193045_bem_ddd_elicit_2	When a dog runs like this it means it has been called to get food.
10_2356_0_101_01_211029-083137_bem_ddd_elicit_0	Two men are playing in the middle of the crowd.
10_2356_2_101_01_211029-083137_bem_ddd_elicit_1	In a game of two, one is lying down and has put his legs in the middle under the friend's thighs.
10_2356_4_101_01_211029-083137_bem_ddd_elicit_2	These two people are just showing off their skills to the people
10_2363_0_101_01_211029-090631_bem_ddd_elicit_0	One person has jumped while crossing the river
10_2363_2_101_01_211029-090631_bem_ddd_elicit_1	He is dressed like he is working on his feet.
10_2363_4_101_01_211029-090631_bem_ddd_elicit_2	He is dressed in a protective manner.
10_2448_0_101_01_211030-185655_bem_ddd_elicit_0	One dog is walking in the grass with a chain on its neck
10_2448_2_101_01_211030-185655_bem_ddd_elicit_1	It has stuck it's tongue out.
10_2448_4_101_01_211030-185655_bem_ddd_elicit_2	Maybe it's tired or maybe it wants to drink water
10_2457_0_101_01_211030-192720_bem_ddd_elicit_0	A woman is with a cat that has bitten a person on the nose.
10_2457_2_101_01_211030-192720_bem_ddd_elicit_1	Maybe he has a scar or maybe he is scared of the beads.
10_2457_4_101_01_211030-192720_bem_ddd_elicit_2	They can bite anything and they have teeth.
10_6014_0_101_01_211103-114603_bem_5a5_elicit_0	Two men are playing football.
10_6014_2_101_01_211103-114603_bem_5a5_elicit_1	They are coming from two different buildings.
10_6014_4_101_01_211103-114603_bem_5a5_elicit_2	They are competing because the one dressed in black wants to get the ball
10_6218_0_101_01_211108-101328_bem_5a5_elicit_0	At this place there is water and a lot of trees
10_6218_2_101_01_211108-101328_bem_5a5_elicit_1	the water has risen and it looks like it's raining
10_6218_4_101_01_211108-101328_bem_5a5_elicit_2	it could be that he is playing with water
10_2321_1_102_02_211106-075739_bem_574_elicit_0	Where it is coming from there are no trees, where did it get the tree from?
10_2321_3_102_02_211106-075739_bem_574_elicit_1	But why hasn't it caught fish besides the stick?
10_2345_1_102_02_211106-095616_bem_574_elicit_0	The ground is surrounded by a white fence
10_2345_3_102_02_211106-095616_bem_574_elicit_1	It's not clear where this dog is running to.
10_2356_1_102_02_211106-222722_bem_574_elicit_0	A lot of people are standing around watching.
10_2356_3_102_02_211106-222722_bem_574_elicit_1	What game are they playing?
10_2363_1_102_02_211106-230221_bem_574_elicit_0	He is wearing boots on his feet.
10_2363_3_102_02_211106-230221_bem_574_elicit_1	But the distance is too long, what can you say about it?
10_2448_1_102_02_211107-134334_bem_574_elicit_0	What is it biting in its mouth? Is it a frog or what?
10_2448_3_102_02_211107-134334_bem_574_elicit_1	What can cause one to have their tongue stuck out?
10_2457_1_102_02_211107-142739_bem_574_elicit_0	But what has caused the cat to bite a person on the nose?
10_2457_3_102_02_211107-142739_bem_574_elicit_1	Does it mean the cat can also bite?
10_6014_1_102_02_211101-133245_bem_ddd_elicit_0	These are football players
10_6014_3_102_02_211101-133245_bem_ddd_elicit_1	The one in white has the ball and is pushing the ball with his fingers.
